,id,label,d2v
156,162,4,"[ 0.4082557  -0.03603231  1.2974517   0.83790183 -0.1416015   0.41452348
  0.13806611  1.3981929  -0.6660911  -0.29485193]"
157,163,2,"[ 1.1126224   0.64995253  1.2913908   1.6888357   0.55701834 -0.57185704
 -0.39198017 -0.12442188  0.51056916 -0.5977807 ]"
158,164,3,"[ 3.7604791e-01  1.4778146e+00  1.2938248e+00 -3.8418462e-04
 -1.0968195e+00  1.6404963e+00  2.1638019e-01  3.8024151e-01
 -1.7202123e+00 -6.8238783e-01]"
159,166,2,"[ 0.68169916  0.2750284   1.2387323   0.5146336  -0.2577628   0.20148927
  0.5801979   1.2606844  -1.4780374  -0.11618108]"
160,167,2,"[ 0.83589494  0.55496395  1.1780432  -0.06187192  0.21244837 -0.07265928
  0.8341705   0.95778114 -0.18224709  0.13805692]"
161,168,3,"[-0.5038605   0.70708483  0.94738555  1.432597    0.02941928 -0.8259418
  0.31898773  0.08545934 -0.6577773  -1.0778061 ]"
162,169,2,"[ 0.27964297  0.76807606  1.0263388   1.3928583  -0.46835423 -0.35174626
 -0.31067672  0.6622801  -0.06488412 -1.3171446 ]"
163,170,2,"[-0.3806747   0.4658781   0.6890251   0.2122451   0.23461422  0.35222378
  1.1989577   0.83933103 -1.07829    -1.2239456 ]"
164,171,2,"[ 0.7283017  -0.03217929  0.6175607   0.39203426  0.18006808 -0.48697415
 -0.82872     1.3180063  -0.8937935  -0.17886704]"
165,173,2,"[ 1.0409845  -0.00766894  0.16341364  0.21043725  0.7544547  -0.31526688
  0.3646018   1.4680691  -0.3718894  -0.45966667]"
166,174,3,"[ 0.37218708  0.70261693  0.96155035  0.23616761  0.22951569  0.5667251
  1.1461849   0.68140835 -1.2083194   0.04272843]"
167,175,1,"[ 0.42599398 -0.15520981  1.6988347   0.85045207 -0.7558634   0.8664059
  0.9035057   0.313208   -0.7817554  -0.41495028]"
168,176,4,"[-1.2312630e-03  3.8617331e-01  8.8255537e-01  1.7886978e+00
 -8.2440341e-01  2.6970527e-01  6.5751415e-01 -1.0293130e-01
 -4.0754339e-01 -1.6322155e+00]"
169,177,2,"[ 0.05483343 -0.24703978  1.2924157   0.2884752  -0.7570543   0.5558581
  0.09928638  0.8067245  -1.3090513  -0.29240584]"
170,178,1,"[ 0.2987479  -0.97880584  0.5900803   0.38443118  0.50511265 -0.19590583
  0.67679936  1.5204172  -0.267777   -0.12485265]"
171,179,3,"[ 0.33137956 -0.542132    1.1674846  -0.11734485 -0.62255144  0.05713291
  0.23407039  1.5911965  -0.26444587  0.43041098]"
172,180,4,"[ 0.69973594  0.22611436  0.766503    0.88662887 -0.0483027   0.3084951
 -0.73262507  1.0156659  -1.2183881  -0.5258687 ]"
173,181,2,"[ 0.10984295 -0.20590934  0.59928215  0.8262677   0.536653    0.67574215
  0.33665034  0.8733106   0.0559396  -0.6732353 ]"
174,182,2,"[ 0.66359365 -0.42235732  1.160163    1.0838537   0.2472341   0.49938223
  0.12376833  1.0497686  -0.49296588 -0.5049383 ]"
175,184,3,"[-0.03043792  0.26584613 -0.16170797  1.3320017   0.46298593  0.7497869
  0.5853339   0.8291522  -0.38896152 -0.4471139 ]"
176,185,1,"[ 0.07922701 -0.7132553  -0.59019685  1.0892442  -0.05064537  0.62425715
  1.1888413   1.1335578  -1.4729855  -0.20612314]"
177,186,4,"[ 0.5144457  -0.3140803   0.6885952   1.0042152   0.25814432  0.8529121
  0.36184412  0.634282   -0.20989522 -0.844366  ]"
178,188,2,"[ 0.5098675  -0.95292157  0.512623    0.29140103  0.552564   -0.02433474
 -0.48982555  1.8494644   0.1584552  -1.3423885 ]"
179,189,2,"[ 0.8809771   0.4729878   1.0595399   1.0072291  -0.19063422  0.03065883
  0.36962754  1.2076775  -0.71029127 -0.58782506]"
